Name,Rank,Headquarter,CEO,Market Capitalization,Total No. Of Employee,Sectors,url
MASTERCARD,18,USA,Ajaypal Singh Banga,303.92 Billion USD,"11,400","Digital Payment Solution Services, Financial Services, Credit Cards, Technology, Business Services, Artificial Intelligence",https://value.today/company/mastercard
ICBC,19,China,Nicolas Jimenez,301.27 Billion USD,"445,106","Financial Services, Banking Services, Investment Banking",https://value.today/company/icbc
EXXON MOBIL CORPORATION,20,USA,Darren Woods,298.48 Billion USD,"74,900","Energy, Oil and Gas, Petrochemicals, Natural Gas Generation, Electricity Generation, Chemicals, Plastics / Plastic Products",https://value.today/company/exxon-mobil-corporation
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY,21,Taiwan,C. C. Wei,293.32 Billion USD,"51,297","Technology, Semi Conductors, Electronics, Technology Hardware, Processors / Chips",https://value.today/company/taiwan-semiconductor-manufacturing-company
AT&T,22,USA,John T. Stankey,283.87 Billion USD,"243,350","Telecom, Communication Services, Internet Providers, Mobile Services, Fixed Line Service, Television Services, Media, Advertising, Utilities, Telecom Equipment, Telecom",https://value.today/company/att
ROCHE HOLDING AG,23,Switzerland,Severin Schwan,279.68 Billion USD,"101,200","Healthcare, Pharmaceutical, Medical Equipment, Biotechnology, Healthcare Service, Technology, HealthCare Products",https://value.today/company/roche-holding-ag
UNITEDHEALTH GROUP,24,USA,David S. Wichmann,275.38 Billion USD,"320,000","Healthcare, Healthcare Service, Insurance, HealthCare Products",https://value.today/company/unitedhealth-group
THE WALT DISNEY COMPANY,25,USA,Bob Chapek,267.12 Billion USD,"203,000","Communication Services, Broadcasting, Television Services, Media, Advertising, Consumer Services, TV's, Entertainment",https://value.today/company/walt-disney-company
INTEL CORPORATION,26,USA,Bob Swan,263.81 Billion USD,"110,600","Technology, Software and IT, Technology Hardware, Processors / Chips, Computers Hardware, Semi Conductors, Mobiles & Accessories, Memory Products, Artificial Intelligence, Internet of Things, Electronics, Consumer Electronics, Software Products",https://value.today/company/intel-corporation
VERIZON COMMUNICATIONS,27,USA,Hans Vestberg,252.49 Billion USD,"135,400","Communication Services, Telecom, Fixed Line Service, Mobile Services, Internet Providers, Television Services, Media, Advertising, Utilities, Telecom Equipment, Telecom",https://value.today/company/verizon-communications
HOME DEPOT,28,USA,Craig Menear,239.61 Billion USD,"415,000","Retail, eCommerce, Construction Materials, Consumer Services",https://value.today/company/home-depot
LVMH,29,France,Bernard Arnault,237.81 Billion USD,"163,000","Fashion and Luxury Goods, Non-Alcoholic Beverages, Clothing, Jewellery, Watches, FMCG, Luxury Goods, Consumer Goods, Beverages",https://value.today/company/lvmh
ROYAL DUTCH SHELL,30,Netherlands,Ben van Beurden,237.10 Billion USD,"83,000","Energy, Oil and Gas, Chemicals, Natural Gas Generation, Electricity Generation, Petrochemicals",https://value.today/company/royal-dutch-shell
COCA-COLA COMPANY,31,USA,James Quincey,235.60 Billion USD,"86,200","Consumer Defensive, Beverages, Non-Alcoholic Beverages, FMCG, Consumer Non Durables",https://value.today/company/coca-cola-company
MERCK & COMPANY,32,USA,Kenneth C. Frazier,231.56 Billion USD,"71,000","Healthcare, Pharmaceutical, Animal Healthcare Companies, Animal Health Medicine, Biotechnology, HealthCare Products, Healthcare Service, Technology",https://value.today/company/merck-company
CHEVRON CORPORATION,33,USA,Michael Wirth,228.68 Billion USD,"44,679","Energy, Oil and Gas, Chemicals, Natural Gas Generation, Petrochemicals, Electricity Generation",https://value.today/company/chevron-corporation
WELLS FARGO & COMPANY,34,USA,Charles W. Scharf,227.14 Billion USD,"258,700","Financial Services, Banking Services, Insurance, Credit Cards, Asset Management",https://value.today/company/wells-fargo-company
PING AN INSURANCE (GROUP) COMPANY OF CHINA,35,China,Ma Mingzhe,226.85 Billion USD,"376,900","Financial Services, Banking Services, Insurance",https://value.today/company/ping-insurance-group-company-china
CHINA CONSTRUCTION BANK CORPORATION,36,China,,222.69 Billion USD,"347,156","Financial Services, Banking Services",https://value.today/company/china-construction-bank-corporation
PFIZER,37,USA,Albert Bourla,215.48 Billion USD,"88,300","Healthcare, Pharmaceutical, HealthCare Products, Biotechnology, Technology",https://value.today/company/pfizer
NOVARTIS AG,38,Switzerland,Vasant Narasimhan,215.02 Billion USD,"110,000","Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service, Technology",https://value.today/company/novartis-ag
COMCAST CORPORATION,39,USA,Brian L. Roberts,206.40 Billion USD,"168,000","Communication Services, Television Services, Broadcasting, Telecom, Internet Providers, Media, Advertising, Consumer Services, Entertainment",https://value.today/company/comcast-corporation
CISCO SYSTEMS,40,USA,Chuck Robbins,204.50 Billion USD,"77,500","Technology, Network Hardware and Software, Telecom Equipment, Internet of Things, Computers Hardware, Software and IT, Communications Equipment",https://value.today/company/cisco-systems
TOYOTA MOTOR CORPORATION,41,Japan,Akio Toyoda,203.34 Billion USD,"370,870","Automobile, Cars, Capital Goods",https://value.today/company/toyota-motor-corporation
KWEICHOW MOUTAI,42,China,Li Bao Fang,190.82 Billion USD,"27,000","Consumer Defensive, Beverages, Alcoholic Beverages, Food Products, FMCG, Food and Beverage",https://value.today/company/kweichow-moutai
PEPSICO,43,USA,Ramon Laguarta,189.39 Billion USD,"263,000","Consumer Defensive, Beverages, Food Products, FMCG, Consumer Non Durables, Food and Beverage, Non-Alcoholic Beverages",https://value.today/company/pepsico
BOEING COMPANY,44,USA,Dave Calhoun,186.88 Billion USD,"141,014","Industries, Aeroplane, Defense Products, Rockets, Missiles, Satellites, Space Products, AeroSpace Products, Aircrafts, Capital Goods, Aerospace and Defense, Technology",https://value.today/company/boeing-company
AGRICULTURAL BANK OF CHINA,45,China,Zhou Mubing,186.29 Billion USD,"467,631","Financial Services, Banking Services",https://value.today/company/agricultural-bank-china
CITI GROUP,46,USA,Michael Corbat,178.42 Billion USD,"210,000","Financial Services, Banking Services, Asset Management",https://value.today/company/citigroup
CHINA MOBILE,47,China,Li Yue,172.90 Billion USD,"456,239","Communication Services, Telecom, Internet Providers, Mobile Services, Fixed Line Service, Television Services, Utilities, Telecom Equipment, Telecom",https://value.today/company/china-mobile
ORACLE CORPORATION,48,USA,Safra A. Catz,171.83 Billion USD,"135,000","Technology, Software and IT, Software Products, Cloud Services, Software and IT Infrastructure",https://value.today/company/oracle-corporation
SAP SE,49,Germany,Christian Klein,169.60 Billion USD,"102,430","Technology, Software and IT, Software Products, Internet of Things, Cloud Services",https://value.today/company/sap-se
L'OREAL,50,France,Jean Paul Agon,165.74 Billion USD,"88,000","Consumer Defensive, Cosmetics, Beauty and Personal Care, FMCG, Consumer Non Durables, Consumer Goods",https://value.today/company/loreal
ANHEUSER-BUSCH INBEV,51,Belgium,Carlos Brito,163.22 Billion USD,"170,000","Consumer Defensive, Beverages, Non-Alcoholic Beverages, FMCG, Consumer Non Durables, Alcoholic Beverages",https://value.today/company/anheuser-busch-inbev
ADOBE,52,USA,Shantanu Narayen,160.80 Billion USD,"22,516","Technology, Software and IT, Software Products, Software and IT Infrastructure, Artificial Intelligence",https://value.today/company/adobe
HSBC HOLDINGS,53,UK,Noel Quinn,160.68 Billion USD,"226,059","Financial Services, Banking Services, Insurance, Asset Management",https://value.today/company/hsbc-holdings
NIKE,54,USA,"John Donahoe, Mark Parker",160.00 Billion USD,"75,400","Consumer Cyclical, Shoes, Footwear, Sports Goods, Consumer Non Durables",https://value.today/company/nike
MCDONALD'S CORPORATION,55,USA,Chris Kempczinski,156.86 Billion USD,"205,000","Consumer Cyclical, Restaurants, Food Products, Non-Alcoholic Beverages, Consumer Services, Entertainment, Beverages",https://value.today/company/mcdonalds-corporation
MEDTRONIC,56,Ireland,Geoffrey S. Martha,153.91 Billion USD,"104,950","Healthcare, Medical Equipment, Biotechnology, Electronics, HealthCare Products, Healthcare Service, Technology",https://value.today/company/medtronic
ABBOTT LABORATORIES,57,USA,Robert Ford,151.94 Billion USD,"107,000","Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service, Technology, Medical Equipment",https://value.today/company/abbott-laboratories
BRISTOL-MYERS SQUIBB COMPANY,58,USA,Giovanni Caforio,151.91 Billion USD,"30,250","Healthcare, Pharmaceutical, BioPharmaceuticals, Biotechnology, HealthCare Products, Technology",https://value.today/company/bristol-myers-squibb-company
UNILEVER GROUP,59,"Netherlands, UK",Alan Jope,151.75 Billion USD,"155,000","Consumer Defensive, FMCG, Beauty and Personal Care, Food Products, Home Care Products, Consumer Non Durables",https://value.today/company/unilever-group
BANK OF CHINA,60,China,Gao Yingxin,150.54 Billion USD,"309,384","Financial Services, Banking Services, Insurance, Asset Management",https://value.today/company/bank-china
PETROCHINA COMPANY,61,China,Wang Dongjin,148.07 Billion USD,"506,000","Energy, Oil and Gas, Petrochemicals, Natural Gas Generation, Chemicals",https://value.today/company/petrochina-company
SALESFORCE.COM,62,USA,Marc Benioff,146.82 Billion USD,"49,000","Technology, Cloud Services, Artificial Intelligence, Software Products, Software and IT",https://value.today/company/salesforce.com
NVIDIA CORPORATION,63,USA,Jensen Huang,145.97 Billion USD,"18,100","Technology, Semi Conductors, Electronics, Technology Hardware, Computers Hardware, Video Games / Mobile Games / Tech Games, Artificial Intelligence",https://value.today/company/nvidia-corporation
TOTAL S.A,64,France,Patrick Pouyanne,144.69 Billion USD,"104,000","Energy, Oil and Gas, Chemicals, Natural Gas Generation, Power Generation, Electricity Generation, Oil Refining",https://value.today/company/total
NETFLIX,65,USA,"Ted Sarandos, Reed Hastings",144.54 Billion USD,"9,400","Communication Services, Electronics, Internet or Mobile App Based Business, Media, Advertising, Television Services, TV's, Entertainment, Artificial Intelligence",https://value.today/company/netflix
AMGEN,66,USA,Robert A. Bradway,143.79 Billion USD,"22,000","Healthcare, Pharmaceutical, BioPharmaceuticals, Biotechnology, HealthCare Products, Technology",https://value.today/company/amgen
BHP GROUP,67,"Australia, UK",Mike Henry,141.26 Billion USD,"80,000","Basic Materials, Metals, Mining, Iron and Steel, Oil and Gas, Coal Mining, Copper, Nickel, Natural Gas Generation, Precious Metals",https://value.today/company/bhp-group
CHINA MERCHANTS BANK,68,China,Huiyu Tian,140.14 Billion USD,"90,867","Financial Services, Banking Services, Asset Management, Credit Cards",https://value.today/company/china-merchants-bank
NOVO NORDISK A/S,69,Denmark,Lars Fruergaard Jorgensen,137.60 Billion USD,"41,600","Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service, Technology",https://value.today/company/novo-nordisk
HUAWEI,69,China,,,"194,000","Telecom, Telecom Equipment, Technology, Technology Hardware, Mobiles, Tablets, Electronics, Consumer Electronics",https://value.today/company/huawei
RELIANCE INDUSTRIES,70,India,Mukesh Ambani,136.37 Billion USD,"195,618","Energy, Conglomerate, Oil and Gas, Chemicals, Telecom, Retail, Petrochemicals, Textile, eCommerce, Super Markets, Technology",https://value.today/company/reliance-industries
PHILIP MORRIS INTERNATIONAL,71,USA,"Andre Calantzopoulos, Louis C. Camilleri",135.35 Billion USD,"71,000","Consumer Defensive, Tobacco Products, Cigarettes, Agriculture Products, FMCG, Consumer Non Durables, Tobacco and Cigarette",https://value.today/company/philip-morris-international
ASTRAZENECA,72,UK,Pascal Soriot,135.30 Billion USD,"70,600","Healthcare, Pharmaceutical, BioPharmaceuticals, Biotechnology, HealthCare Products, Technology",https://value.today/company/astrazeneca
ACCENTURE,73,Ireland,Julie Sweet,134.17 Billion USD,"513,000","Technology, Software and IT, Software Products, Software Consulting Services, Software Outsourcing Services, Business Services, Consulting Services, Outsourcing and Staffing, Artificial Intelligence",https://value.today/company/accenture
THERMO FISHER SCIENTIFIC,74,USA,Marc N. Casper,132.53 Billion USD,"80,000","Healthcare, Medical Equipment, Pharmaceutical, Technology Hardware, Electronics, Software Products, Biotechnology, Capital Goods, Machinery Manufacturing, Software and IT, Technology, Manufacturing",https://value.today/company/thermo-fisher-scientific
AIA GROUP,75,Hong Kong,Lee Yuan Siong,131.85 Billion USD,"23,000","Financial Services, Insurance",https://value.today/company/aia-group
ABBVIE,76,USA,Richard A. Gonzalez,131.67 Billion USD,"47,000","Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service, Technology",https://value.today/company/abbvie
COSTCO WHOLESALE CORPORATION,77,USA,W. Craig Jelinek,131.41 Billion USD,"273,000","Consumer Defensive, Retail, eCommerce, Food Service, Hypermarkets, Consumer Services, Travel and Transport",https://value.today/company/costco-wholesale-corporation
RAYTHEON TECHNOLOGIES CORPORATION,78,USA,Gregory Hayes,131.13 Billion USD,"181,000","Industries, Aerospace and Defense, AeroSpace Products, Aircraft Parts, Defense Products, Elevators, Escalators, Building Automation, Security Systems, Capital Goods, Automation, Space Products",https://value.today/company/united-technologies-corporation
PAYPAL HOLDINGS,79,USA,Daniel Schulman,129.51 Billion USD,"26,500","Financial Services, Digital Payment Solution Services, Internet or Mobile App Based Business, Software Products, Business Services, Software and IT",https://value.today/company/paypal-holdings
BP P.L.C.,80,UK,Bernard Looney,128.56 Billion USD,"70,100","Energy, Oil and Gas, Petrochemicals, Chemicals",https://value.today/company/bp-p.l.c.
HONEYWELL INTERNATIONAL,81,USA,Darius Adamczyk,128.44 Billion USD,"113,000","Industries, Software Products, Technology Hardware, AeroSpace Products, Building Automation, Engineering Products, Automobile Parts, Electronics, Robotics, Automation, Automobile, Software and IT, Aerospace and Defense, Technology, Space Products",https://value.today/company/honeywell-international
ELI LILLY AND COMPANY,82,USA,David A. Ricks,128.18 Billion USD,"33,815","Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service, Technology",https://value.today/company/eli-lilly-and-company
CHINA LIFE INSURANCE COMPANY,83,China,Dairen Lin,128.05 Billion USD,"102,817","Financial Services, Banking Services, Insurance",https://value.today/company/china-life-insurance-company
ASML HOLDING,84,Netherlands,Peter Wennink,127.54 Billion USD,"26,000","Technology, Semi Conductors, Electronics, Technology Hardware",https://value.today/company/asml-holding
BROADCOM,85,USA,Hock E. Tan,127.20 Billion USD,"19,000","Technology, Electronics, Semi Conductors, Networking Products / Solutions, Network Hardware and Software, Software Products, Software and IT",https://value.today/company/broadcom
UNION PACIFIC CORPORATION,86,USA,Lance M. Fritz,127.16 Billion USD,"30,960","Industries, Freight Transport, Transportation, Railway, Railway Vehicles and Railway Components, Infrastructure",https://value.today/company/union-pacific-corporation
SANOFI,87,France,Paul Hudson,127.05 Billion USD,"100,409","Healthcare, Pharmaceutical, HealthCare Products",https://value.today/company/sanofi
TEXAS INSTRUMENTS,88,USA,Rich Templeton,126.27 Billion USD,"30,000","Technology, Semi Conductors, Electronics, Processors / Chips, Sensors",https://value.today/company/texas-instruments
PROSUS,89,Netherlands,Bob van Dijk,125.91 Billion USD,"15,677","Communication Services, Internet or Mobile App Based Business, eCommerce, Technology, Investments",https://value.today/company/prosus
IBM,90,USA,Arvind Krishna,119.94 Billion USD,"383,800","Technology, Software and IT, Software Products, Computers Hardware, Laptops, Cloud Services, Artificial Intelligence, Internet of Things, Electronics, Consumer Electronics",https://value.today/company/ibm
ANT GROUP,90,China,Xiaoming Hu,,"16,800","Digital Payment Solution Services, Technology, Software and IT",https://value.today/company/ant-group
NEXTERA ENERGY,91,USA,James L Robo,119.50 Billion USD,"14,800","Utilities, Electricity Generation, Electric Utilities, Utilities, Renewable Energy, Solar Power, Wind Power, Power Generation, Energy",https://value.today/company/nextera-energy
AIRBUS,92,Netherlands,Guillaume Faury,117.26 Billion USD,"135,000","Industries, Aerospace and Defense, Aeroplane, Defense Products, Helicoptors, Space Products, Aircrafts, Machinery Manufacturing, Manufacturing",https://value.today/company/airbus
GLAXOSMITHKLINE,93,UK,Dame Emma Walmsley,116.69 Billion USD,"99,437","Healthcare, Pharmaceutical, HealthCare Products, Biotechnology, Technology",https://value.today/company/glaxosmithkline
RIO TINTO GROUP,94,"Australia, UK",Jean-Sebastien Jacques,115.29 Billion USD,"46,007","Basic Materials, Metals, Mining, Aluminum, Iron and Steel, Copper, Gold Mining, Diamonds, Coal Mining, Molybdenum, Precious Metals",https://value.today/company/rio-tinto-group
LINDE AG,95,"UK, Ireland",Steve Angel,114.01 Billion USD,"79,886","Basic Materials, Chemicals, Industrial Gases",https://value.today/company/linde-ag
ROYAL BANK OF CANADA,96,Canada,David I. McKay,113.45 Billion USD,"83,842","Financial Services, Banking Services, Wealth Management, Asset Management, Credit Cards, Mortgage, Insurance",https://value.today/company/royal-bank-canada
TATA CONSULTANCY SERVICES (TCS),97,India,Rajesh Gopinathan,113.36 Billion USD,"453,540","Technology, Software and IT, Software Consulting Services, Software Outsourcing Services, Software Products, Consulting Services, Outsourcing and Staffing",https://value.today/company/tata-consultancy-services-tcs
LOCKHEED MARTIN CORPORATION,98,USA,Marillyn Hewson,112.40 Billion USD,"110,000","Industries, AeroSpace Products, Defense Products, Aerospace and Defense, Missiles, Weapons, Marine Systems, Security Systems, Capital Goods, Space Products, Artificial Intelligence",https://value.today/company/lockheed-martin-corporation
VOLKSWAGEN,99,Germany,Herbert Diess,111.30 Billion USD,"670,000","Consumer Cyclical, Automobile, Cars, Commercial Vehicles, Sports Cars",https://value.today/company/volkswagen
INDITEX (INDUSTRIA DE DISENO TEXTIL),100,Spain,Pablo Isla,110.96 Billion USD,"174,000","Consumer Cyclical, Retail, Readymade Clothing",https://value.today/company/inditex-industria-de-diseno-textil
SIEMENS,101,Germany,Joe Kaeser,108.76 Billion USD,"385,000","Industries, Infrastructure, Technology Hardware, Software and IT, Railway Vehicles and Railway Components, Engineering Products, Medical Equipment, Software Products, Security Systems, Artificial Intelligence, Machinery Manufacturing, Conglomerate, Railway, Technology, Manufacturing",https://value.today/company/siemens
DANAHER CORPORATION,102,USA,Thomas P. Joyce Jr,108.45 Billion USD,"60,000","Healthcare, Medical Equipment, HealthCare Products, Machinery Manufacturing, Capital Goods, Technology, Manufacturing",https://value.today/company/danaher-corporation
STARBUCKS CORPORATION,103,USA,Kevin Johnson,107.01 Billion USD,"349,000","Consumer Cyclical, Restaurants, Retail, Non-Alcoholic Beverages, Coffee, Beverages, Consumer Services",https://value.today/company/starbucks-corporation
SCHWARZ GROUP,103,Germany,,,"458,000","Retail, Super Markets, Hypermarkets",https://value.today/company/schwarz-group
ALLIANZ SE,104,Germany,Oliver Bate,105.92 Billion USD,"147,268","Financial Services, Insurance, Asset Management",https://value.today/company/allianz-se
CHARTER COMMUNICATIONS,105,USA,Thomas M. Rutledge,105.34 Billion USD,"95,100","Communication Services, Telecom, Internet Providers, Fixed Line Service, Television Services, Consumer Services, Media, Advertising, Entertainment",https://value.today/company/charter-communications
PETROLEO BRASILEIRO - PETROBRAS,106,Brazil,Roberto Castello Branco,104.10 Billion USD,"57,983","Energy, Oil and Gas, Electricity Generation, Petrochemicals, Fertilizers, Lubricants, Natural Gas Generation, Chemicals",https://value.today/company/petroleo-brasileiro-petrobras
DIAGEO,107,UK,Ivan Menezes,103.62 Billion USD,"28,420","Consumer Defensive, Beverages, Alcoholic Beverages, FMCG, Consumer Non Durables",https://value.today/company/diageo
AMERICAN EXPRESS COMPANY,108,USA,Stephen Squeri,103.42 Billion USD,"64,500","Financial Services, Banking Services, Credit Cards, Technology, Digital Payment Solution Services",https://value.today/company/american-express-company
GENERAL ELECTRIC COMPANY,109,USA,H. Lawrence Culp Jr,103.41 Billion USD,"205,000","Industries, Aircraft Parts, AeroSpace Products, HealthCare Products, Aerospace and Defense, Electrical Products, Software and IT, Software Products, Technology Hardware, Energy, Electronics, Engineering Products, Lighting, Technology, Space Products",https://value.today/company/general-electric-company
3M COMPANY,110,USA,Mike Roman,102.93 Billion USD,"94,987","Industries, Medical Equipment, Electronics, HealthCare Products, Chemicals, Engineering Products, Adhesives, Consumer Goods, Conglomerate, Industry Machinery",https://value.today/company/3m-company
QUALCOMM,111,USA,Steven Mollenkopf,102.71 Billion USD,"41,000","Technology, Semi Conductors, Electronics, Technology Hardware, Telecom Equipment, Processors / Chips, Connectivity Technology, Artificial Intelligence, Internet of Things, Software Products, Software and IT",https://value.today/company/qualcomm
AMERICAN TOWER CORPORATION (REIT),112,USA,Tom Bartlett,102.34 Billion USD,"5,454","Real Estate, Cell Towers Infrastructure, Infrastructure, Consumer Services",https://value.today/company/american-tower-corporation-reit
THE GOLDMAN SACHS GROUP,113,USA,David M. Solomon,101.98 Billion USD,"40,900","Financial Services, Banking Services, Asset Management, Investments, Brokerage Services, Securities, Stock Markets, Trading, Capital Markets",https://value.today/company/goldman-sachs-group
YOUTUBE,113,USA,,,,"Social Media, Internet or Mobile App Based Business, Technology, Artificial Intelligence",https://value.today/company/youtube
TORONTO-DOMINION BANK,114,Canada,Bharat Masrani,101.86 Billion USD,"89,598","Financial Services, Banking Services, Insurance",https://value.today/company/toronto-dominion-bank
UNITED PARCEL SERVICE (UPS),115,USA,David P. Abney,101.56 Billion USD,"495,000","Industries, Courier, Logistics, Transportation, Freight Transport",https://value.today/company/united-parcel-service
BRITISH AMERICAN TOBACCO,116,UK,Jack Bowles,100.58 Billion USD,"55,000","Consumer Defensive, Tobacco Products, Cigarettes, FMCG, Agriculture Products, Consumer Non Durables, Tobacco and Cigarette",https://value.today/company/british-american-tobacco
SONY CORPORATION,117,Japan,Kenichiro Yoshida,100.03 Billion USD,"114,400","Technology, Electronics, Mobiles, Gaming, Video Games / Mobile Games / Tech Games, Cameras & Accessories, Technology Hardware, TV's, Consumer Electronics, Mobiles & Accessories",https://value.today/company/sony-corporation
MARS INC,117,USA,,,"125,000","Food Products, Animal Feed, Chocolate & Confectionery, Beverages",https://value.today/company/mars
COMMONWEALTH BANK OF AUSTRALIA,118,Australia,Matt Comyn,99.26 Billion USD,"43,585","Financial Services, Banking Services",https://value.today/company/commonwealth-bank-australia
CVS HEALTH CORPORATION,119,USA,Larry J. Merlo,98.69 Billion USD,"300,000","Healthcare, Pharmacy, Healthcare Service, Retail, HealthCare Products",https://value.today/company/cvs-health-corporation
HDFC BANK,120,India,Aditya Puri,98.69 Billion USD,"116,971","Financial Services, Banking Services",https://value.today/company/hdfc-bank
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,121,Japan,Jun Sawada,94.78 Billion USD,"310,000","Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services, Telecom",https://value.today/company/nippon-telegraph-and-telephone-corporation
REYES HOLDINGS,121,USA,,,"29,000","Food and Beverage, Alcoholic Beverages, Beer, Non-Alcoholic Beverages",https://value.today/company/reyes-holdings
U.S. BANCORP,122,USA,Andrew Cecere,93.97 Billion USD,"69,651","Financial Services, Banking Services",https://value.today/company/u.s.-bancorp
GAZPROM,123,Russia,Alexey Miller,93.96 Billion USD,"473,800","Energy, Oil and Gas, Natural Gas Generation, Petrochemicals, Oil and Gas Pipeline Transport, Chemicals",https://value.today/company/gazprom
LOWE'S COMPANIES,124,USA,Marvin Ellison,93.56 Billion USD,"300,000","Consumer Cyclical, Retail, Home Furnishing, Home & Furniture, Consumer Services",https://value.today/company/lowes-companies
SOFTBANK GROUP,125,Japan,Masayoshi Son,93.51 Billion USD,"76,866","Communication Services, Investments, Telecom, Internet Providers, Fixed Line Service, Semi Conductors, eCommerce, Internet of Things, Internet or Mobile App Based Business, Artificial Intelligence, Automation, Robotics, Technology, Conglomerate, Telecom",https://value.today/company/softbank-group
CHRISTIAN DIOR,126,France,Sidney Toledano,93.28 Billion USD,"163,309","Consumer Cyclical, Retail, Luxury Goods, Fashion and Luxury Goods, Watches, Beauty and Personal Care, Leather Products, Jewellery, FMCG, Consumer Non Durables, Consumer Goods",https://value.today/company/christian-dior
